created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
"Thu Aug 31 23:50:00 +0000 2023;1697396348356841754;""PPP bakal mengajak Partai Demokrat dan PKS untuk mendukung Bacapres Ganjar Pranowo di Pemilu 2024 https://t.co/ij8Lwdc4YZ"";0;0;0;0;in;944180887171743745;1697396348356841754;inewsdotid;https://twitter.com/inewsdotid/status/1697396348356841754",,,,
"Thu Aug 31 23:49:48 +0000 2023;1697396298281009408;""@hc_poirot @ganjarpranowo piye penak ora kalau jogingnya di area Wadas?"";0;0;0;2;in;1555201214819991557;1697343298753777725;HilyaSalsabill4;https://twitter.com/HilyaSalsabill4/status/1697396298281009408",,,,
"Thu Aug 31 23:49:43 +0000 2023;1697396278853095560;""@journalizm_ @AntoniusCDN @ganjarpranowo Ganjar terus melaju bersama rakyat melanjutkan pekerjaan presiden Jokowi 🤲🤲🤲👍👍👍👍 💪💪💪💪🇮🇩🇮🇩🇮🇩🇮🇩 NKRI harga mati",,,,
"Thu Aug 31 23:49:02 +0000 2023;1697396105498247525;""@GunRomli @jokowi @ganjarpranowo nah gitu dong...ad prestasi paling ga buat anak bangsa...masa pro aseng ......pro anak bangsa dong...biarin pencitraan jg sing penting anak bangsa maju...bosen di sepelein mulu sama Opung luhut..."";0;0;0;1;in;1097372338507509760;1697056407722594691;MOHAMAD26051170;https://twitter.com/MOHAMAD26051170/status/1697396105498247525",,,,
"Thu Aug 31 23:48:27 +0000 2023;1697395957724586036;""@ganjarpranowo Mau Ngibul Apalagi Setelah Esemka"";0;0;0;0;in;1642462072754806785;1697072198568337861;MMehonx;https://twitter.com/MMehonx/status/1697395957724586036",,,,
"Thu Aug 31 23:47:13 +0000 2023;1697395650646946266;""@Gani2115 @ganjarpranowo GK Nanyak"";0;0;0;0;in;1375462822285516820;1697047176822853823;B1nt4ng_K1r4r4;https://twitter.com/B1nt4ng_K1r4r4/status/1697395650646946266",,,,
"Thu Aug 31 23:46:55 +0000 2023;1697395574918762554;""Rumusnya dari mana 😜 sudah beberapa lembaga survey yg sudah teruji dan terbukti selama ini dalam surveynya di setiap pilpres selalu benar",,,,
"Thu Aug 31 23:45:49 +0000 2023;1697395297192980978;""@Miduk17 @datuakrajoangek Sudahlah kau minta @ganjarpranowo bikin pernyataan akan mengadili Prabowo jika presiden."";0;0;0;1;in;2881653068;1697299605799711190;AGoeci;https://twitter.com/AGoeci/status/1697395297192980978",,,,
"Thu Aug 31 23:45:30 +0000 2023;1697395218180632812;""@B1nt4ng_K1r4r4 @ganjarpranowo Mendadak mengandung bawang"";0;0;0;1;in;4184979312;1697395020721205660;AntoniusCDN;https://twitter.com/AntoniusCDN/status/1697395218180632812",,,,
"Thu Aug 31 23:45:17 +0000 2023;1697395161687601457;""@ch_chotimah2 @ganjarpranowo Iya mampu di capaian survey tp tak mampu menjajaki akademisi di kampus UI"";0;0;0;0;in;784760219150626820;1697082561997295961;mr_pahlewa;https://twitter.com/mr_pahlewa/status/1697395161687601457",,,,
"Thu Aug 31 23:44:43 +0000 2023;1697395020721205660;""REKAM JEJAK  Pak Ganjar memastikan anak-anak dari keluarga yg tidak mampu bisa mendapatkan akses pendidikan yg terbaik. @ganjarpranowo https://t.co/t04Ebv8SiU"";0;4;31;48;in;1375462822285516820;1697395020721205660;B1nt4ng_K1r4r4;https://twitter.com/B1nt4ng_K1r4r4/status/1697395020721205660",,,,
"Thu Aug 31 23:44:42 +0000 2023;1697395014215856452;""@KerjaBrngGanjar @ganjarpranowo Ganjar Pranowo Manteb"";0;0;0;0;in;1620291313068556289;1697266002571227560;RuamhNtb;https://twitter.com/RuamhNtb/status/1697395014215856452",,,,
"Thu Aug 31 23:43:35 +0000 2023;1697394734803632468;""@datuakrajoangek Masuk akal yg penutup podcast kemarin itu.  Saya sudah tantanganin langsung ke @ganjarpranowo . Tapi nggak direspon sama dia dan pendengung-pendengung yg berisik."";0;0;0;1;in;2881653068;1697384169964458212;AGoeci;https://twitter.com/AGoeci/status/1697394734803632468",,,,
"Thu Aug 31 23:42:30 +0000 2023;1697394463239479413;""@ganjarpranowo Jadi ingat zakat buat kader 🤦"";0;0;0;0;in;1579341198942052357;1697199175950303369;Ja99ung_Manies;https://twitter.com/Ja99ung_Manies/status/1697394463239479413",,,,
"Thu Aug 31 23:42:08 +0000 2023;1697394369043870158;""KOMUNITAS OJEK ONLINE OPTIMIS GANJAR PRANOWO JADI NEXT PRESIDEN.  @ganjarpranowo #SalamPramukaKakGanjar!  #UlamaSufiKeJateng #JatengHappyEnding #GanjarAyahIdaman #RakyatDukungGanjar  Cak Imin | #SuperBlueMoon | Waduh | Sugeng Rahayu | Zoro | Surya Paloh | Koalisi Perubahan https://t.co/SL6xjb7dUh"";0;40;5;930;in;1653640682467389440;1697394369043870158;muslimganjar;https://twitter.com/muslimganjar/status/1697394369043870158",,,,
"Thu Aug 31 23:42:01 +0000 2023;1697394341868912809;""@rahmani_ima @prabowo @ganjarpranowo Sangat S7 bunda",,,,
"Thu Aug 31 23:41:36 +0000 2023;1697394236793237818;""WARGA GEREJA KOTA SEMARANG",,,,
"Thu Aug 31 23:41:32 +0000 2023;1697394218954834164;""Gub Jateng @ganjarpranowo memaparkan 3 strategi utk wujudkan Indonesia emas 2045 di hadapan mahasiswa universitas Pancasila Jakarta yg antara lain 1. Pembangunan SDM 2. Infrastruktur dukung inovasi 3. Ketangguhan dan kesehatan mental https://t.co/PVFtuX5wfA"";1;5;34;49;in;4184979312;1697394218954834164;AntoniusCDN;https://twitter.com/AntoniusCDN/status/1697394218954834164",,,,
"Thu Aug 31 23:41:08 +0000 2023;1697394117108793426;""PAK GANJAR BERBICARA PENTINGNYA KOLABORASI DI INDUSTRI KREATIF.  @ganjarpranowo #SalamPramukaKakGanjar!  #UlamaSufiKeJateng #JatengHappyEnding #GanjarAyahIdaman #RakyatDukungGanjar  Cak Imin | #SuperBlueMoon | Waduh | Sugeng Rahayu | Zoro | Surya Paloh | Koalisi Perubahan https://t.co/YHQYPKbJPE"";0;43;4;951;in;1653640682467389440;1697394117108793426;muslimganjar;https://twitter.com/muslimganjar/status/1697394117108793426",,,,
"Thu Aug 31 23:40:39 +0000 2023;1697393998216994888;""Presiden Joko Widodo mengundang Gubernur Jawa Tengah yang juga bakal calon presiden Ganjar Pranowo ke Istana Kepresidenan Jakarta. https://t.co/3FMe4S2ttK"";0;1;8;14;in;3827798354;1697393998216994888;Marbot_Udien;https://twitter.com/Marbot_Udien/status/1697393998216994888",,,,
"Thu Aug 31 23:40:38 +0000 2023;1697393993305538911;""@ch_chotimah2 @ganjarpranowo Paspampres special edition era Jokowi",bisa2 den Ganjar bagi CD bok*p,"gitu ya nul"";0;0;0;0;in;1140588426607001600;1697088755205881940;Arieadji1;https://twitter.com/Arieadji1/status/1697393993305538911",,
"Thu Aug 31 23:39:36 +0000 2023;1697393731698385088;""@sapi05490638 Pak Ganjar Pranowo sangat merakyat sejak dulu #GanjarPilihanRakyat"";0;0;0;0;in;1614707974571974656;1697242219445657836;newspolitical1;https://twitter.com/newspolitical1/status/1697393731698385088",,,,
"Thu Aug 31 23:39:31 +0000 2023;1697393709355335829;""@BungkusTukang @ganjarpranowo Bajunya kok pink 😭"";0;0;0;0;in;1625799321991122946;1697096808697409945;mujijogya65;https://twitter.com/mujijogya65/status/1697393709355335829",,,,
"Thu Aug 31 23:38:34 +0000 2023;1697393470644863003;""@ganjarpranowo Bu Atikoh: ""lak masih memfavoritkan campursari toh Bu?"" Bu Iriana: 'ya ndak Mbak.... Metal doooong'"";0;0;0;0;in;80152266;1696765943270281409;Hkuncoro;https://twitter.com/Hkuncoro/status/1697393470644863003",,,,
